state,year,metric,value
Arunachal Pradesh,2023,Total Revenue Receipts,27441.0
Assam,2013,Capital: Internal Debt,1147.46
Assam,2013,Capital: Loan Recoveries,6.07
Assam,2013,Capital: Loans from Centre,48.61
Assam,2013,Capital: Misc Receipts,0.0
Assam,2013,Capital: Public Debt Receipts,1196.07
Assam,2013,Grants in Aid,8938.32
Assam,2013,Non-Debt Capital Receipts,6.07
Assam,2013,Non-Tax Revenue,2705.04
Assam,2013,SOTR,8994.92
Assam,2013,Share in Union Taxes,11574.52
Assam,2013,Total Revenue Receipts,32212.8
Assam,2014,Capital: Internal Debt,6095.8
Assam,2014,Capital: Loan Recoveries,10.13
Assam,2014,Capital: Loans from Centre,49.66
Assam,2014,Capital: Misc Receipts,0.0
Assam,2014,Capital: Public Debt Receipts,6145.46
Assam,2014,Grants in Aid,14035.08
Assam,2014,Motor Vehicle Tax,364.53
Assam,2014,Non-Debt Capital Receipts,10.13
Assam,2014,Non-Tax Revenue,2412.8900000000003
Assam,2014,SGST,0.0
Assam,2014,SOTR,9449.81
Assam,2014,Sales/Trade Tax,7351.25
Assam,2014,Share in Union Taxes,12283.71
Assam,2014,Stamps & Registration,188.51
Assam,2014,State Excise,664.99
Assam,2014,Total Revenue Receipts,38181.49
Assam,2015,Capital: Internal Debt,5447.5
Assam,2015,Capital: Loan Recoveries,510.19
Assam,2015,Capital: Loans from Centre,50.49
Assam,2015,Capital: Misc Receipts,0.0
Assam,2015,Capital: Public Debt Receipts,5497.99
Assam,2015,Grants in Aid,12824.75
Assam,2015,Motor Vehicle Tax,442.73
Assam,2015,Non-Debt Capital Receipts,510.19
Assam,2015,Non-Tax Revenue,2741.57
Assam,2015,SGST,0.0
Assam,2015,SOTR,10106.5
Assam,2015,Sales/Trade Tax,7493.72
Assam,2015,Share in Union Taxes,16784.88
Assam,2015,Stamps & Registration,224.83
Assam,2015,State Excise,807.96
Assam,2015,Total Revenue Receipts,42457.7
Assam,2016,Capital: Internal Debt,3844.36
Assam,2016,Capital: Loan Recoveries,18.6
Assam,2016,Capital: Loans from Centre,57.35
Assam,2016,Capital: Misc Receipts,0.0
Assam,2016,Capital: Public Debt Receipts,3901.71
Assam,2016,Grants in Aid,12598.48
Assam,2016,Motor Vehicle Tax,521.59
Assam,2016,Non-Debt Capital Receipts,18.6
Assam,2016,Non-Tax Revenue,4353.13
Assam,2016,SGST,0.0
Assam,2016,SOTR,12079.54
Assam,2016,Sales/Trade Tax,8751.63
Assam,2016,Share in Union Taxes,20188.66
